Attack,AttackIntensity,Distance,Stations,PayloadSize,LoadFactor,MCS,ChannelWidth,GI,Throughput,TxPackets,RxPackets,LostPackets,PacketLossRate,Delay,Jitter
dos,extreme,1,10,700,1,3,20,3200,25.2907,7195096,45162,7134524,99.1581,4525,58
dos,extreme,1,10,700,1,3,80,800,119.725,7400216,213795,7156523,96.7069,2924,9
dos,extreme,1,10,700,1,3,80,3200,102.941,7361606,183823,7150599,97.1337,3372,9
dos,extreme,1,10,700,1,3,160,800,221.357,7657566,395280,7229650,94.4119,1573,0
dos,extreme,1,10,700,1,3,160,3200,192.381,7580366,343538,7207321,95.0788,1831,0
dos,extreme,1,10,700,1,7,20,800,73.7374,7296486,131674,7142249,97.8861,4569,16
dos,extreme,1,10,700,1,7,20,3200,62.8454,7273446,112224,7144159,98.2225,5414,23
dos,extreme,1,10,700,1,7,80,800,267.024,7786246,476828,7271457,93.3885,1276,0
dos,extreme,1,10,700,1,7,80,3200,233.069,7689736,416195,7239504,94.145,1486,0
dos,extreme,1,10,700,1,7,160,800,453.735,8429626,810241,7555391,89.629,665,0
dos,extreme,1,10,700,1,7,160,3200,403.453,8236606,720451,7460000,90.5713,777,0
dos,extreme,1,10,700,1,11,20,800,119.075,7398896,212634,7156471,96.7235,2939,9
dos,extreme,1,10,700,1,11,20,3200,102.372,7360496,182808,7150664,97.1492,3390,9
dos,extreme,1,10,700,1,11,80,800,398.196,8215166,711064,7448794,90.6713,789,0
dos,extreme,1,10,700,1,11,80,3200,352.888,8054326,630157,7348079,91.2315,929,0
dos,extreme,1,10,700,1,11,160,800,628.526,9287446,1122368,8065902,86.8474,418,0
dos,extreme,1,10,700,1,11,160,3200,569.762,8965786,1017432,7862446,87.6939,481,0
dos,extreme,20,10,700,1,3,20,800,29.778,7204306,53175,7135077,99.0391,5074,48
dos,extreme,20,10,700,1,3,20,3200,25.2907,7195096,45162,7134524,99.1581,4525,58
dos,extreme,20,10,700,1,3,80,800,119.725,7400216,213795,7156523,96.7069,2924,9
dos,extreme,20,10,700,1,3,80,3200,102.941,7361606,183823,7150599,97.1337,3372,9
dos,extreme,20,10,700,1,3,160,800,221.357,7657566,395280,7229650,94.4119,1573,0
dos,extreme,20,10,700,1,3,160,3200,192.381,7580366,343538,7207321,95.0788,1831,0
dos,extreme,20,10,700,1,7,20,800,73.7374,7296486,131674,7142249,97.8861,4569,16
dos,extreme,20,10,700,1,7,20,3200,62.8454,7273446,112224,7144159,98.2225,5414,23
dos,extreme,20,10,700,1,7,80,800,107.62,7786246,192178,7534222,96.7632,1762,14
dos,extreme,20,10,700,1,7,80,3200,92.9298,7689736,165946,7469162,97.1316,2048,14
dos,extreme,20,10,700,1,7,160,800,352.838,8429626,630067,5,5.93146e-05,5,0
dos,extreme,20,10,700,1,7,160,3200,305.96,8236606,546358,5,6.07046e-05,5,0
dos,extreme,20,10,700,1,11,20,800,70.2134,7398896,125381,5,6.75776e-05,5,0
